name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
spring-beans-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-context-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-core-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-data-commons-1.13.22.RELEASE.jar,Apache-2.0,"",,,,,,
spring-data-jpa-1.11.22.RELEASE.jar,Apache-2.0,"",,,,,,
spring-expression-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-instrument-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-jdbc-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-orm-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-tx-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
spring-web-4.3.24.RELEASE.jar,Apache-2.0,"",,,,,,
swagger-annotations-1.5.18.jar,Apache-2.0,"",,,,,,
swagger-jaxrs-1.5.18.jar,Apache-2.0,"",,,,,,
util-perf-1.0.0.jar,Apache-2.0;MIT,"",,,,,,
validation-api-1.0.0.GA-redhat-3.jar,Apache-2.0,"",,,,,,
velocity-1.7.jar,Apache-2.0,"",,,,,,
xerces-2.4.0.jar,Apache-2.0,"",,,,,,
xercesImpl-2.12.1.jar,Apache 2.0,"",,,,,,
xml-apis-1.3.04.jar,Apache-2.0,"",,,,,,
xmlbeans-3.0.1.jar,Apache-2.0,"",,,,,,
zxing-core-3.3.3.jar,Apache-2.0,"",,,,,,
zxing-javase-3.3.3.jar,Apache-2.0,"",,,,,,
avalon-framework-api-4.3.1.jar,Apache-2.0,"",,,,,,
avalon-framework-impl-4.3.1.jar,Apache-2.0,"",,,,,,
commons-codec-1.15.jar,Apache-2.0,"",,,,,,
commons-collections-3.2.2.jar,Apache-2.0,"",,,,,,
commons-io-2.5.jar,Apache-2.0,"",,,,,,
docx4j-6.1.2.jar,Apache-2.0,"",,,,,,
